,Título da checagem,Data da checagem,Natureza da notícia,Candidato(s) favorecidos(s) pela notícia falsa,Agência,Link
16,É mentira que a Renner declarou apoio a Lula,8/5/2022,Falsa,Lula,Aos Fatos,https://www.aosfatos.org/noticias/renner-nao-declarou-apoio-a-lula/
17,Lula não disse que ‘100% das mulheres no México são mulheres’,8/8/2022,Falsa,Jair Bolsonaro,Aos Fatos,https://www.aosfatos.org/noticias/lula-nao-disse-100-porcento-das-mulheres-no-mexico-sao-mulheres/
18,Áudio sobre Bolsonaro atribuído a Luana Piovani é de 2018,8/8/2022,Falsa,Jair Bolsonaro,Aos Fatos,https://www.aosfatos.org/noticias/audio-sobre-bolsonaro-atribuido-a-luana-piovani-e-de-2018/
19,"Da ditadura à eleição de 2018, Bolsonaro mente ao Flow Podcast",8/8/2022,Falsa,indefinido,Aos Fatos,https://www.aosfatos.org/noticias/bolsonaro-no-flow/
20,"No Roda Viva, Tebet erra informação sobre financiamento federal ao SUS",8/9/2022,Falsa,indefinido,Aos Fatos,https://www.aosfatos.org/noticias/roda-viva-simone-tebet/
21,Lula cita na Fiesp informações falsas sobre voto feminino e produção de carnes,8/9/2022,Falsa,indefinido,Aos Fatos,https://www.aosfatos.org/noticias/lula-cita-na-fiesp-informacoes-falsas-sobre-voto-feminino-e-producao-de-carnes/
22,"Twitter não suspendeu Michelle Bolsonaro, que não tem conta na rede",8/10/2022,Falsa,Lula,Aos Fatos,https://www.aosfatos.org/noticias/twitter-michelle-bolsonaro/
23,Condenação no TCU não torna Deltan Dallagnol inelegível automaticamente,8/10/2022,Falsa,Lula,Aos Fatos,https://www.aosfatos.org/noticias/tcu-deltan-dallagnol-inelegibilidade/
24,Plano de governo de Bolsonaro contém falsidades sobre transparência e leis para mulheres,8/10/2022,Falsa,Jair Bolsonaro,Aos Fatos,https://www.aosfatos.org/noticias/checamos-plano-governo-bolsonaro/
25,É falso que TSE fez propaganda para Lula em título de eleitor,8/11/2022,Falsa,Jair Bolsonaro,Aos Fatos,https://www.aosfatos.org/noticias/e-falso-que-tse-fez-propaganda-para-lula-em-titulo-de-eleitor/
26,Vídeo manipulado faz crer que Drauzio incentiva crianças a usarem drogas,8/11/2022,Falsa,Jair Bolsonaro,Aos Fatos,https://www.aosfatos.org/noticias/video-manipulado-faz-crer-que-drauzio-incentiva-criancas-a-usarem-drogas/
27,Projeto de lei não criminaliza propagação do evangelho no Rio de Janeiro,8/12/2022,Falsa,Jair Bolsonaro,Aos Fatos,https://www.aosfatos.org/noticias/projeto-de-lei-nao-criminaliza-evangelho-no-rio-de-janeiro/
28,Vídeo que mostra recepção a Bolsonaro não é recente nem foi gravado em Goiânia,8/12/2022,Falsa,Jair Bolsonaro,Aos Fatos,https://www.aosfatos.org/noticias/video-recepcao-bolsonaro-nao-e-recente-nem-foi-gravado-em-goiania/
29,Cartilha citada por Damares não ensina crianças a usar crack,8/12/2022,Falsa,Jair Bolsonaro,Aos Fatos,https://www.aosfatos.org/noticias/cartilha-citada-por-damares-nao-ensina-criancas-a-usar-crack/
30,Post atribui a Fernando Haddad falsas propostas para a segurança,8/15/2022,Falsa,Jair Bolsonaro,Aos Fatos,https://www.aosfatos.org/noticias/post-atribui-a-fernando-haddad-falsas-propostas-para-a-seguranca/
31,É falso que Bolsonaro não inaugurou nenhuma unidade de educação,8/15/2022,Falsa,Lula,Aos Fatos,https://www.aosfatos.org/noticias/bolsonaro-universidades-inauguradas/
32,"No Roda Viva, Ciro Gomes erra sobre endividamento de estados e acesso à internet",8/15/2022,Falsa,indefinido,Aos Fatos,https://www.aosfatos.org/noticias/checamos-ciro-gomes-roda-viva/
33,"Crítica de Jô Soares à Globo foi escrita em 1988, não recentemente",8/16/2022,Falsa,Jair Bolsonaro,Aos Fatos,https://www.aosfatos.org/noticias/critica-de-jo-soares-a-globo-foi-escrita-em-1988-nao-recentemente/
34,Ponte sobre rio das Mortes que aparece em vídeo não é obra do governo Bolsonaro,8/16/2022,Falsa,Lula,Aos Fatos,https://www.aosfatos.org/noticias/ponte-sobre-rio-das-mortes-que-aparece-em-video-nao-e-obra-do-governo-bolsonaro/
35,É falso vídeo que usa imagens do JN para dizer que Bolsonaro lidera pesquisa Ipec,8/17/2022,Falsa,Jair Bolsonaro,Aos Fatos,https://www.aosfatos.org/noticias/e-falso-video-que-usa-imagens-do-jn-para-dizer-que-bolsonaro-lidera-pesquisa-ipec/
36,Uso da Bíblia não foi proibido no Brasil,8/17/2022,Falsa,Jair Bolsonaro,Aos Fatos,https://www.aosfatos.org/noticias/uso-da-biblia-nao-foi-proibido-no-brasil/
37,Frases sobre família e igreja atribuídas a Lula em postagem são falsas,8/17/2022,Falsa,Jair Bolsonaro,Aos Fatos,https://www.aosfatos.org/noticias/frases-sobre-familia-e-igreja-atribuidas-a-lula-em-postagem-sao-falsas/
38,"Lula diz que Auxílio Brasil acaba em dezembro, mas lei garante benefício de R$ 400",8/17/2022,Falsa,Lula,Aos Fatos,https://www.aosfatos.org/noticias/lula-falseia-ao-dizer-que-auxilio-brasil-sera-pago-somente-ate-dezembro/
39,Reportagem do ‘JN’ é tirada de contexto para atribuir a Lula e Dilma contas na Suíça,8/18/2022,Falsa,Jair Bolsonaro,Aos Fatos,https://www.aosfatos.org/noticias/reportagem-jn-lula-dilma-contas-suica/
40,É falso que estudo de Harvard comprovou que hidroxicloroquina é eficaz contra Covid-19,8/18/2022,Falsa,Jair Bolsonaro,Aos Fatos,https://www.aosfatos.org/noticias/e-falso-que-estudo-de-harvard-comprovou-que-hidroxicloroquina-e-eficaz-contra-covid-19/
41,Posts enganam ao dizer que Chauí tirou garrafa de cachaça de Lula,8/18/2022,Falsa,Jair Bolsonaro,Aos Fatos,https://www.aosfatos.org/noticias/posts-enganam-ao-dizer-que-chaui-tirou-garrafa-de-cachaca-de-lula/
42,É falso que QR Code no título de eleitor conta voto para Lula automaticamente,8/19/2022,Falsa,Jair Bolsonaro,Aos Fatos,https://www.aosfatos.org/noticias/e-falso-que-qr-code-no-titulo-de-eleitor-conta-voto-para-lula-automaticamente/
43,"Candidato, ex-ministro Pazuello mente sobre ‘tratamento precoce’ contra a Covid-19",8/19/2022,Falsa,Jair Bolsonaro,Aos Fatos,https://www.aosfatos.org/noticias/candidato-pazuello-mente-sobre-tratamento-precoce-covid-19/
44,"Lula, Bolsonaro, Ciro e Tebet iniciam campanha com declarações falsas sobre economia",8/19/2022,Falsa,indefinido,Aos Fatos,https://www.aosfatos.org/noticias/lula-bolsonaro-ciro-tebet-campanha-economia/
45,É falso que TSE admitiu ligação entre PT e PCC,8/23/2022,Falsa,Jair Bolsonaro,Aos Fatos,https://www.aosfatos.org/noticias/e-falso-que-tse-admitiu-ligacao-entre-pt-e-pcc/
46,"Vídeo que mostra oração de Bolsonaro é de 2018, não anterior ao JN",8/23/2022,Falsa,Jair Bolsonaro,Aos Fatos,https://www.aosfatos.org/noticias/video-que-mostra-oracao-de-bolsonaro-e-de-2018-nao-anterior-ao-jn/
47,Vídeo em que público canta ‘Lula ladrão’ não foi gravado em comício do ex-presidente,8/23/2022,Falsa,Jair Bolsonaro,Aos Fatos,https://www.aosfatos.org/noticias/video-em-que-publico-canta-lula-ladrao-nao-foi-gravado-em-comicio-do-ex-presidente/
48,"Audiência da Globo subiu após entrevista de Bolsonaro, segundo Kantar Ibope",8/23/2022,Falsa,Lula,Aos Fatos,https://www.aosfatos.org/noticias/ibope-audiencia-globo-bolsonaro-entrevista-jn/
49,É falso que Ratinho entrevistará Bolsonaro nesta quinta,8/24/2022,Falsa,Jair Bolsonaro,Aos Fatos,https://www.aosfatos.org/noticias/e-falso-que-ratinho-entrevistara-bolsonaro-nesta-quinta/
50,É falso que Globo deve R$ 10 bilhões em impostos,8/25/2022,Falsa,Jair Bolsonaro,Aos Fatos,https://www.aosfatos.org/noticias/falso-globo-deve-10-bilhoes-impostos/
51,Vídeo engana ao dizer que Barroso fez orgia com José Dirceu em Cuba,8/25/2022,Falsa,Jair Bolsonaro,Aos Fatos,https://www.aosfatos.org/noticias/video-engana-barroso-orgia-jose-dirceu-cuba/
52,Vídeo do JN de 2020 sobre ‘fique em casa’ é editado para excluir ‘para quem pode’,8/25/2022,Falsa,Jair Bolsonaro,Aos Fatos,https://www.aosfatos.org/noticias/video-jn-2020-fique-em-casa-editado-excluir-quem-pode/
53,Posts distorcem fala de Lula ao JN sobre setor ‘fascista’ do agronegócio,8/26/2022,Falsa,Jair Bolsonaro,Aos Fatos,https://www.aosfatos.org/noticias/posts-distorcem-fala-de-lula-ao-jn-sobre-setor-fascista-do-agronegocio/
54,É falso que produção do JN entregou respostas a Lula durante entrevista,8/26/2022,Falsa,Jair Bolsonaro,Aos Fatos,https://www.aosfatos.org/noticias/e-falso-que-producao-do-jn-entregou-respostas-a-lula-durante-entrevista/
55,Lei eleitoral proíbe assinatura com número de candidato no caderno de votação,8/26/2022,Falsa,Jair Bolsonaro,Aos Fatos,https://www.aosfatos.org/noticias/assinatura-numero-candidato-caderno-votacao/
56,Não é verdade que Vera Magalhães recebe R$ 500 mil por ano do governo de SP,8/30/2022,Falsa,Jair Bolsonaro,Aos Fatos,https://www.aosfatos.org/noticias/nao-e-verdade-que-vera-magalhaes-recebe-r-500-mil-por-ano-do-governo-de-sp/
57,Escultura de dedo gigante no Qatar não faz referência a amputações por roubos,8/30/2022,Falsa,indefinido,Aos Fatos,https://www.aosfatos.org/noticias/escultura-dedo-gigante-qatar-nao-faz-referencia-a-amputacoes-por-roubos/
58,"É falso que Lula chamou apoiadores de vagabundos, traficantes e bandidos em vídeo",8/31/2022,Falsa,Jair Bolsonaro,Aos Fatos,https://www.aosfatos.org/noticias/e-falso-que-lula-chamou-apoiadores-de-vagabundos-traficantes-e-bandidos-em-video/
59,"Fala de Fabíola Cidral sobre provocação a Bolsonaro se refere a Tebet, não a Vera Magalhães",8/31/2022,Falsa,Jair Bolsonaro,Aos Fatos,https://www.aosfatos.org/noticias/provocacao-a-bolsonaro-se-refere-a-tebet-nao-a-vera-magalhaes/
60,Não é verdade que Randolfe Rodrigues disse controlar PF e STF,8/31/2022,Falsa,Jair Bolsonaro,Aos Fatos,https://www.aosfatos.org/noticias/nao-e-verdade-que-randolfe-rodrigues-disse-controlar-pf-e-stf/
61,"Veículo apedrejado conduzia jornalistas, não apoiadores de Lula",9/1/2022,Falsa,Jair Bolsonaro,Aos Fatos,https://www.aosfatos.org/noticias/veiculo-apedrejado-conduzia-jornalistas-nao-apoiadores-de-lula/
62,O que é falso e o que é fato em declarações de Lula sobre absolvições na ONU e na Justiça,9/2/2022,,indefinido,Aos Fatos,https://www.aosfatos.org/noticias/o-que-e-falso-e-o-que-e-fato-em-declaracoes-de-lula-sobre-absolvicoes-na-onu-e-na-justica/
63,É falso que Ipec e Instituto Lula funcionam no mesmo endereço,9/2/2022,Falsa,Jair Bolsonaro,Aos Fatos,https://www.aosfatos.org/noticias/ipec-instituto-lula-nao-funcionam-mesmo-endereco/
64,O que se sabe sobre o atentado a Cristina Kirchner,9/2/2022,,indefinido,Aos Fatos,https://www.aosfatos.org/noticias/o-que-se-sabe-sobre-atentado-a-cristina-kirchner/
65,Vídeo de colunista do ‘UOL’ é tirado de contexto para sugerir endosso a narrativas bolsonaristas,9/2/2022,Falsa,Jair Bolsonaro,Aos Fatos,https://www.aosfatos.org/noticias/video-colunista-uol-fora-contexto-narrativas-bolsonaristas/
66,Tony Ramos não declarou apoio a Lula em vídeo,9/2/2022,Falsa,Lula,Aos Fatos,https://www.aosfatos.org/noticias/tony-ramos-nao-declarou-apoio-a-lula-em-video/
67,"Artista espanhol tatuou ânus em repúdio a Trump, não a Bolsonaro",9/2/2022,Falsa,Jair Bolsonaro,Aos Fatos,https://www.aosfatos.org/noticias/artista-espanhol-tatuou-anus-em-repudio-a-trump-nao-a-bolsonaro/
68,Nem Bolsonaro nem Lula disseram que enfermeiros ‘só servem para servir sopa’,9/5/2022,Falsa,Jair Bolsonaro / Lula,Aos Fatos,https://www.aosfatos.org/noticias/bolsonaro-lula-enfermeiros-servem-para-servir-sopa/
69,É falso que comandante avisou que Exército prenderá políticos e ministros no 7 de Setembro,9/6/2022,Falsa,Jair Bolsonaro,Aos Fatos,https://www.aosfatos.org/noticias/comandante-exercito-politicos-ministros-7-de-setembro/
70,Homem que aparece próximo a Kirchner em foto não é brasileiro que tentou matá-la,9/6/2022,Falsa,indefinido,Aos Fatos,https://www.aosfatos.org/noticias/homem-que-aparece-proximo-a-kirchner-em-foto-nao-e-brasileiro-que-tentou-mata-la/
71,Prefeitura de Campos Gerais (MG) cumpre lei eleitoral ao tirar logotipo do governo federal de obra,9/6/2022,Falsa,Jair Bolsonaro,Aos Fatos,https://www.aosfatos.org/noticias/prefeitura-de-campos-gerais-mg-cumpre-lei-eleitoral-ao-tirar-logotipo-do-governo-federal-de-obra/
72,Vídeos antigos são atribuídos a atos de 7 de Setembro em 2022,9/7/2022,Falsa,Jair Bolsonaro,Aos Fatos,https://www.aosfatos.org/noticias/videos-antigos-sao-atribuidos-a-atos-de-7-de-setembro-em-2022/
73,Vídeo de ato em Copacabana em 2021 volta a circular como se fosse deste ano,9/7/2022,Falsa,Jair Bolsonaro,Aos Fatos,https://www.aosfatos.org/noticias/video-sete-setembro-copacabana-volta-a-circular-como-atual/
74,É falso que presidente do CNS pediu cancelamento do piso salarial da enfermagem,9/8/2022,Falsa,Jair Bolsonaro,Aos Fatos,https://www.aosfatos.org/noticias/falso-que-presidente-cns-pediu-cancelamento-piso-salarial-enfermagem/
75,"Galeria mostra fotos publicadas no Sete de Setembro de 2021, não neste ano",9/8/2022,Falsa,Jair Bolsonaro,Aos Fatos,https://www.aosfatos.org/noticias/fotos-sete-de-setembro-de-2021-nao-2022/
76,Foto da Esplanada atribuída ao Sete de Setembro de 2021 foi registrada neste ano,9/8/2022,Falsa,Jair Bolsonaro,Aos Fatos,https://www.aosfatos.org/noticias/foto-esplanada-sete-de-setembro-2021-2022/
77,"Vídeo de multidão em Salvador é do Sete de Setembro de 2021, não deste ano",9/8/2022,Falsa,Jair Bolsonaro,Aos Fatos,https://www.aosfatos.org/noticias/multidao-em-salvador-e-do-sete-de-setembro-de-2021-nao-deste-ano/
78,Bolsonaro não foi recebido na igreja de Valdemiro com gritos pró-Lula,9/9/2022,Falsa,Lula,Aos Fatos,https://www.aosfatos.org/noticias/bolsonaro-nao-foi-recebido-na-igreja-de-valdemiro-com-gritos-pro-lula/
79,Áudio foi inserido em vídeo que mostra Bolsonaro e Michelle antes do Sete de Setembro,9/9/2022,Falsa,Lula,Aos Fatos,https://www.aosfatos.org/noticias/audio-foi-inserido-em-video-que-mostra-bolsonaro-e-michelle-antes-do-sete-de-setembro/
80,"Na TV, presidenciáveis desinformam sobre gás de cozinha, Bolsa Família e refinarias",9/9/2022,Falsa,indefinido,Aos Fatos,https://www.aosfatos.org/noticias/na-tv-presidenciaveis-desinformam-sobre-gas-de-cozinha-bolsa-familia-refinarias/
81,É falso que batalhão cantou música contra o PT em desfile do Sete de Setembro,9/9/2022,Falsa,Jair Bolsonaro,Aos Fatos,https://www.aosfatos.org/noticias/exercito-musica-contra-pt-sete-de-setembro/
82,"Vídeo mostra ato bolsonarista na Avenida Paulista em 2021, não em 2022",9/12/2022,Falsa,Jair Bolsonaro,Aos Fatos,https://www.aosfatos.org/noticias/video-ato-bolsonarista-sp-2021-2022/
83,Homem com boné de Lula não é empresário que negou marmita a eleitora petista,9/12/2022,Falsa,Jair Bolsonaro,Aos Fatos,https://www.aosfatos.org/noticias/homem-com-bone-de-lula-nao-e-empresario-que-negou-marmita-a-eleitora-petista/
84,Bolsonaro não foi ‘expulso’ do Maracanã sob vaias em jogo do Flamengo no dia 7 de setembro,9/12/2022,Falsa,Lula,Aos Fatos,https://www.aosfatos.org/noticias/bolsonaro-nao-foi-expulso-do-maracana-sob-vaias/
85,Bolsonaro mente a podcasters evangélicos sobre compra de imóveis em dinheiro vivo,9/13/2022,Falsa,Jair Bolsonaro,Aos Fatos,https://www.aosfatos.org/noticias/bolsonaro-mente-podcasters-evangelicos-sobre-compra-imoveis-dinheiro-vivo/
86,"Na CNN, Lula usa desinformação para atacar governo Bolsonaro",9/13/2022,Falsa,Lula,Aos Fatos,https://www.aosfatos.org/noticias/lula-na-cnn/
87,Anúncio de Thronicke engana ao dizer que uso de emendas do orçamento secreto é ‘fake news’,9/14/2022,Falsa,indefinido,Aos Fatos,https://www.aosfatos.org/noticias/anuncio-de-thronicke-engana-ao-dizer-que-uso-de-emendas-do-orcamento-secreto-e-fake-news/
88,Vídeo que mostra Lula se entregando à PF em 2018 é editado para inserir xingamentos,9/14/2022,Falsa,Jair Bolsonaro,Aos Fatos,https://www.aosfatos.org/noticias/video-mostra-lula-se-entregando-a-pf-em-2018-e-editado-para-inserir-xingamentos/
89,Luís Roberto Barroso não é sogro de dono da Rede D’Or nem pai de sócio da empresa,9/14/2022,Falsa,Jair Bolsonaro,Aos Fatos,https://www.aosfatos.org/noticias/barroso-stf-rede-dor/
90,Vídeo da Globo sobre candidatura de Lula barrada em 2018 é difundido como se fosse atual,9/14/2022,Falsa,Jair Bolsonaro,Aos Fatos,https://www.aosfatos.org/noticias/video-globo-candidatura-de-lula-barrada-2018-difundido-como-se-fosse-atual/
91,É falso que Datafolha se recusa a entrevistar eleitores de Bolsonaro,9/15/2022,Falsa,Jair Bolsonaro,Aos Fatos,https://www.aosfatos.org/noticias/e-falso-que-datafolha-se-recusa-a-entrevistar-eleitores-de-bolsonaro/
92,Postagens distorcem resultados para dizer que Ibope e Datafolha erraram em 2018,9/15/2022,Falsa,Jair Bolsonaro,Aos Fatos,https://www.aosfatos.org/noticias/postagens-distorcem-resultados-para-dizer-que-ibope-e-datafolha-erraram-em-2018/
93,É montagem foto de ministro do TSE com blusa de Lula,9/16/2022,Falsa,Jair Bolsonaro,Aos Fatos,https://www.aosfatos.org/noticias/e-montagem-foto-de-ministro-do-tse-com-blusa-de-lula/
94,"Lula, Bolsonaro, Ciro e Tebet erram ao falar de mulheres, economia e alimentos",9/16/2022,,indefinido,Aos Fatos,https://www.aosfatos.org/noticias/lula-bolsonaro-ciro-e-tebet-erram-ao-falar-de-mulheres-economia-alimentos/
95,Maiara e Maraisa não gritaram ‘fora Bolsonaro’ nem deixaram palco sob vaias,9/16/2022,Falsa,Jair Bolsonaro,Aos Fatos,https://www.aosfatos.org/noticias/maiara-e-maraisa-nao-gritaram-fora-bolsonaro-nem-deixaram-palco-sob-vaias/
96,Lula não disse que acabará com o Pix se for eleito,9/16/2022,Falsa,Jair Bolsonaro,Aos Fatos,https://www.aosfatos.org/noticias/falso-lula-acabar-pix/
97,É falso que Alexandre de Moraes mandou Bolsonaro apagar vídeo com entrevistas de chefes de facção,9/19/2022,Falsa,Jair Bolsonaro,Aos Fatos,https://www.aosfatos.org/noticias/falso-moraes-mandou-bolsonaro-apagar-video-com-entrevistas-beira-mar-marcinho-vp/
98,É falso que vídeo mostra furto de celular em evento com Lula,9/19/2022,Falsa,Jair Bolsonaro,Aos Fatos,https://www.aosfatos.org/noticias/e-falso-que-video-mostra-furto-de-celular-em-evento-com-lula/
99,Vídeo é manipulado para afirmar que Bolsonaro liderou pesquisa Ipec divulgada em 12 de setembro,9/20/2022,Falsa,Jair Bolsonaro,Aos Fatos,https://www.aosfatos.org/noticias/video-e-manipulado-para-afirmar-bolsonaro-liderou-pesquisa-ipec/
100,Música de apoio a Lula é inserida em vídeo com a torcida do Flamengo,9/21/2022,Falsa,Lula,Aos Fatos,https://www.aosfatos.org/noticias/musica-de-apoio-a-lula-e-inserida-em-video-com-torcida-do-flamengo/
101,Comício de Lula em Curitiba não estava vazio; vídeo foi gravado antes do início,9/21/2022,Falsa,Jair Bolsonaro,Aos Fatos,https://www.aosfatos.org/noticias/comicio-de-lula-em-curitiba-nao-estava-vazio-video-foi-gravado-antes-do-inicio/
102,É falso que Exército ‘aposentou’ Bolsonaro por ‘insanidade mental’,9/22/2022,Falsa,Lula,Aos Fatos,https://www.aosfatos.org/noticias/falso-exercito-aposentou-bolsonaro-por-insanidade-mental/
103,É falso que TSE ordenou que todos os vídeos dos atos de 7 de Setembro sejam excluídos da internet,9/22/2022,Falsa,Jair Bolsonaro,Aos Fatos,https://www.aosfatos.org/noticias/e-falso-que-tse-ordenou-que-todos-os-videos-dos-atos-de-7-de-setembro-sejam-excluidos-da-internet/
104,Vídeo que mostra garis entregando urnas no RJ é de 2018 e não prova fraude,9/22/2022,Falsa,Jair Bolsonaro,Aos Fatos,https://www.aosfatos.org/noticias/video-que-mostra-garis-entregando-urnas-no-rj-e-de-2018-e-nao-prova-fraude/
105,"Reportagem do Jornal Hoje sobre aumento da pobreza foi veiculada em 2018, não em governos do PT",9/23/2022,Falsa,Jair Bolsonaro,Aos Fatos,https://www.aosfatos.org/noticias/reportagem-globo-aumento-da-pobreza-2018-nao-governos-pt/
106,Datafolha mostra soma de percentuais de 99% e 101% devido a arredondamento,9/23/2022,Falsa,Jair Bolsonaro,Aos Fatos,https://www.aosfatos.org/noticias/datafolha-101-porcento-arredondamento/
107,Print falso do G1 atribui a Lula frase sobre a Venezuela que ele não disse,9/23/2022,Falsa,Jair Bolsonaro,Aos Fatos,https://www.aosfatos.org/noticias/print-falso-g1-lula-venezuela/
108,Presidenciáveis inflam legados e omitem fatos ao atacar adversários no Programa do Ratinho,9/23/2022,,indefinido,Aos Fatos,https://www.aosfatos.org/noticias/checamos-lula-bolsonaro-ciro-tebet-programa-ratinho/
109,Erro mostrado em vídeo é de pesquisa contratada por candidato em Rondônia,9/23/2022,Falsa,Jair Bolsonaro,Aos Fatos,https://www.aosfatos.org/noticias/erro-mostrado-em-video-e-de-pesquisa-contratada-por-candidato-em-rondonia/
110,É falso que Bolsonaro foi aplaudido de pé após discurso na ONU,9/26/2022,Falsa,Jair Bolsonaro,Aos Fatos,https://www.aosfatos.org/noticias/e-falso-que-bolsonaro-foi-aplaudido-de-pe-apos-discurso-na-onu/
111,"Vídeo mostra prisão de Lula em 2018, não manifestação contra ele no Paraná em 2022",9/26/2022,Falsa,Jair Bolsonaro,Aos Fatos,https://www.aosfatos.org/noticias/video-mostra-prisao-de-lula-em-2018-nao-manifestacao-contra-ele-no-parana-em-2022/
112,É falso que Lula pretende criar Ministério da Verdade e controlar gastos da população,9/26/2022,Falsa,Jair Bolsonaro,Aos Fatos,https://www.aosfatos.org/noticias/e-falso-que-lula-pretende-criar-ministerio-da-verdade-e-controlar-gastos-da-populacao/
113,"Vídeos mostram protestos antigos no Chile e no México, não na Argentina",9/26/2022,Falsa,Jair Bolsonaro,Aos Fatos,https://www.aosfatos.org/noticias/videos-mostram-protestos-antigos-chile-mexico-nao-argentina/
114,Fotos antigas de canais danificados da transposição do São Francisco circulam fora de contexto,9/27/2022,Falsa,Jair Bolsonaro,Aos Fatos,https://www.aosfatos.org/noticias/fotos-antigas-de-canais-danificados-da-transposicao-do-sao-francisco-circulam-fora-de-contexto/
115,Vídeo que mostra preparação de urnas em sindicato em SP não indica irregularidade ou fraude,9/27/2022,Falsa,Jair Bolsonaro,Aos Fatos,https://www.aosfatos.org/noticias/video-que-mostra-preparacao-de-urnas-em-sindicato-em-sp-nao-indica-irregularidade-ou-fraude/
116,Globo não pediu autorização à Justiça para entrevistar Adélio Bispo,9/27/2022,Falsa,Jair Bolsonaro,Aos Fatos,https://www.aosfatos.org/noticias/globo-nao-pediu-autorizacao-a-justica-para-entrevistar-adelio-bispo/
117,Posts enganam ao associar foto de praça vazia a comício de Lula em SC,9/27/2022,Falsa,Jair Bolsonaro,Aos Fatos,https://www.aosfatos.org/noticias/posts-enganam-ao-associar-foto-de-praca-vazia-a-comicio-de-lula-em-sc/
